医師,こんにちは、鈴木さん。今日はどういったご様子でしょうか？
患者,はい、先生。最近、鼻炎がひどくて困っています。
医師,そうですか。具体的にはどのような症状がありますか？
患者,鼻づまりがひどくて、息がしづらいんです。それに、くしゃみと鼻水が止まりません。
医師,なるほど。その症状はいつ頃から始まりましたか？
患者,そうですね...約2週間前からです。最初は軽かったのですが、徐々にひどくなってきました。
医師,分かりました。季節の変わり目や、何か環境の変化はありましたか？
患者,そういえば、2週間前に引っ越しをしたんです。新しい家の近くに公園があって、花粉が多いかもしれません。
医師,なるほど。アレルギー性鼻炎の可能性がありますね。以前にも同じような症状を経験したことはありますか？
患者,春先に似たような症状が出ることはありました。でも、今回ほどひどくはなかったです。
医師,分かりました。では、アレルギー検査をしてみましょう。それと、鼻の中の状態も確認させてください。
患者,はい、お願いします。この症状を和らげる方法はありますか？
医師,まず、抗ヒスタミン薬や点鼻薬を処方しますので、それで症状が軽減するはずです。また、家の中を清潔に保ち、外出後は手洗いとうがいを心がけてください。
患者,分かりました。薬は毎日飲む必要がありますか？
医師,はい、症状が落ち着くまでは毎日服用してください。副作用として眠気が出ることがありますので、最初は就寝前に飲むのがいいでしょう。
患者,了解しました。どのくらいで症状は良くなりますか？
医師,個人差はありますが、1週間程度で症状が和らぐことが多いです。2週間経っても改善が見られない場合は、再度受診してください。
患者,分かりました。ありがとうございます。
医師,それでは、検査をしてから薬を処方しますね。何か質問はありますか？
患者,今のところありません。検査をお願いします。
医師,はい。では、検査室にご案内しますので、こちらへどうぞ。
